sna,total,可借數,sarea,可還空位數
土城綜合體育場,44,9,土城區,35
板橋福德公園,32,4,板橋區,28
光華公園,32,19,樹林區,12
樹林大安活動中心,36,12,樹林區,24
三民中山一路口,28,11,蘆洲區,17
義學國小,34,9,泰山區,19
自然公園,34,28,三重區,6
板林溪北路口,42,4,板橋區,37
新北市藝文中心,40,2,板橋區,38
大安中央路口,32,8,土城區,23
中和地政事務所,20,11,中和區,9
華夏科技大學,28,0,中和區,26
同興公園,34,6,泰山區,20
新五泰國民運動中心,42,8,泰山區,32
溪洲公園停車場,30,21,板橋區,9
崑崙公園,30,4,板橋區,24
捷運海山站(3號出口),54,6,土城區,46
興化公園,38,19,新莊區,17
潤泰社區,28,12,板橋區,16
西盛館,30,0,新莊區,29
秀朗成功路口,34,21,中和區,11
板橋國中,54,14,板橋區,38
永豐公園活動中心,24,24,板橋區,0
義仁市民活動中心,36,15,泰山區,15
鶯歌國中,34,21,鶯歌區,13
捷運迴龍站(3號出口),60,26,新莊區,32
捷運先嗇宮站(2號出口),42,29,三重區,13
鶯歌火車站(仁愛路),58,30,鶯歌區,25
立泰里(中環路二段),34,21,新莊區,13
竹圍公園,28,13,淡水區,14
新北市立鶯歌陶瓷博物館,40,23,鶯歌區,15
浮洲合宜住宅(樂群路),38,13,板橋區,25
尖山公園,38,14,鶯歌區,24
崇德橋東活動中心,30,10,汐止區,18
樹林區衛生所,38,18,樹林區,18
溪墘公園,36,8,蘆洲區,28
育德國小,28,5,樹林區,23
彭福國小,40,16,樹林區,23
民享藝文特區,36,15,中和區,21
億光電子(樹林高中),40,24,樹林區,16
捷運永寧站(2號出口),32,23,土城區,9
竿蓁市民活動中心,48,3,淡水區,45
新市國小,30,4,淡水區,26
新北市立圖書館鶯歌分館,36,22,鶯歌區,13
德音國小,36,5,五股區,31
中山北新春街口,40,7,淡水區,33
正德國中,18,4,淡水區,14
金城立體停車場,42,14,土城區,28
先嗇宮,32,22,三重區,9
板橋第一運動場,28,16,板橋區,11
光興國小,36,19,三重區,17
安和市民活動中心,30,7,新店區,22
景安板南路口,30,2,中和區,27
新月橋,50,21,新莊區,27
修德國小,42,19,三重區,22
福祥里(中和溝),30,17,中和區,12
輕軌濱海義山站,28,8,淡水區,20
鴨母港抽水站,40,16,蘆洲區,23
捷運淡水站,68,17,淡水區,51
安成安德街口,28,9,新店區,17
淡水國民運動中心,46,4,淡水區,42
捷運竹圍站,32,13,淡水區,18
龍門公園,38,23,三重區,14
輕軌淡水行政中心站,34,0,淡水區,34
永安圖書館,36,7,蘆洲區,28
西盛廣場,34,14,新莊區,19
三峽區公所(三峽老街),36,18,三峽區,18
仁愛文化二路口,50,14,林口區,35
崑崙活力廣場,42,13,板橋區,29
永盛公園,38,24,三重區,14
鷺江廣場,16,8,蘆洲區,8
六張公園,36,11,三重區,25
中山佳林路口,36,17,林口區,18
國立臺北大學(三峽校區),58,31,三峽區,27
林口區公所,28,8,林口區,20
新麗園社區,42,17,林口區,24
中正富國路口,42,7,新莊區,33
大同國小,36,16,樹林區,19
新北市立圖書館五股成功分館,36,24,五股區,11
民德立體停車場,32,12,中和區,14
麗林公有市場,28,18,林口區,9
南樹林火車站,28,4,樹林區,24
新北市立鶯歌高級工商職業學校,40,21,鶯歌區,19
行政院新莊聯合辦公大樓,44,11,新莊區,32
柑園五里聯合活動中心,40,31,樹林區,8
中和自強公園,32,12,中和區,20
富貴森林公園,36,19,林口區,13
林口自強公園,30,22,林口區,8
永昌里兒一公園,30,8,鶯歌區,22
捷運林口站(1號出口),52,13,林口區,37
南興公園,44,7,汐止區,37
立言公園,34,12,林口區,21
溪北公園,36,18,板橋區,16
頂新祖田市民活動中心,34,5,土城區,29
貴和市民活動中心,26,18,泰山區,8
頂埔國小,34,9,土城區,25
三峽區礁溪行政中心,24,8,三峽區,16
林口國小,30,14,林口區,14
南勢市民活動中心,34,24,林口區,10
青山廣場,36,7,土城區,29
林口社區運動公園,50,30,林口區,20
捷運新莊站(2號出口),40,25,新莊區,15
俊英俊保路口,30,16,樹林區,12
五股國民運動中心,36,17,五股區,19
學成大義路口,46,27,樹林區,17
捷運頭前庄站(1號出口),114,56,新莊區,57
文化機車立體停車場,32,9,淡水區,22
成德公園,36,2,五股區,31
頭湖國小,38,15,林口區,23
金城立德路口,38,4,土城區,34
恩主公醫院,66,36,三峽區,30
中和區公所,24,19,中和區,5
忠山市民活動中心,36,14,汐止區,20
三重永豐公園,24,3,三重區,21
臺灣藝術大學,56,19,板橋區,36
新莊體育館,40,20,新莊區,20
永和耕莘醫院,32,8,永和區,12
三多國小,28,15,樹林區,13
永安兒童公園,40,22,蘆洲區,18
新北市立中和高級中學,36,20,中和區,16
扶輪公園,40,13,林口區,26
安邦公園,34,13,中和區,21
立德公園,34,27,林口區,7
新北市政府(新站路),60,0,板橋區,60
清水高中,40,5,土城區,35
板橋車站,82,1,板橋區,79
樹林國民運動中心,34,13,樹林區,21
捷運輔大站(4號出口),42,15,新莊區,27
民安東民全街口,36,20,新莊區,14
中興北街175巷口,32,13,三重區,19
仁愛路151巷口,44,26,汐止區,17
五股工商立體停車場,40,14,五股區,20
沛陂社區公園,28,23,土城區,5
佳和公園,34,9,中和區,25
溪頭公園,32,17,板橋區,15
龍鳳公園,40,15,新莊區,25
伊吉邦社區,40,15,新莊區,25
三多第1市民活動中心,34,13,樹林區,21
新北高工,44,5,土城區,39
瑞芳火車站,22,8,瑞芳區,13
長風社區,28,12,土城區,16
永和國民運動中心,24,8,永和區,15
民樂人行廣場,36,13,中和區,21
民生親子公園,24,3,樹林區,20
樹林工業區,38,17,樹林區,21
龍埔公園,36,11,三峽區,24
尖山國中,32,15,鶯歌區,16
新北市立圖書館新店分館,28,1,新店區,27
浮洲火車站,36,16,板橋區,19
捷運海山站(1號出口),80,23,土城區,54
深坑區公所(深坑老街),50,12,深坑區,32
東南科技大學,34,12,深坑區,20
德光國光街口,26,17,中和區,9
猴硐火車站,14,3,瑞芳區,11
永和國父紀念館,22,16,永和區,3
台北得意GO,30,13,五股區,10
大觀國中,40,10,板橋區,30
太陽公園,32,3,三重區,29
三重五常公園,28,11,三重區,14
三德公園,36,15,三重區,20
力行大勇街口,30,12,三重區,18
蘆洲延平派出所,36,9,蘆洲區,26
永安南路九芎街71巷口,36,7,蘆洲區,27
福和宮,50,0,中和區,50
飛駝社區(興南路),32,8,中和區,24
保平路214巷,22,15,永和區,7
汐科火車站(南),64,0,汐止區,64
樹林國小,34,15,樹林區,19
永吉國小,36,12,鶯歌區,24
中園國小,26,14,三峽區,12
介壽國小,30,17,三峽區,13
安溪國中,32,15,三峽區,17
龍埔國小,38,18,三峽區,19
大安路與中山路二段口,34,18,樹林區,13
樹林區公所,40,9,樹林區,31
蘆洲重陽大樓,22,2,蘆洲區,19
埔墘國小,18,18,板橋區,0
圓通錦和路口,46,14,中和區,31
下庄市場,30,6,八里區,23
亞洲員安路口,34,17,土城區,17
大安路307巷口,32,22,樹林區,10
漁人碼頭,50,14,淡水區,35
味王街,24,5,樹林區,19
福基公園,32,12,新莊區,19
振義里公園,22,10,板橋區,12
安溪國小,36,0,三峽區,36
中和安和路口,34,7,中和區,26
元氣大鎮社區,20,7,中和區,12
員勝公園,32,13,中和區,18
永和自由街,24,5,永和區,11
安樂宜安路口,28,18,中和區,10
昌隆國小,30,26,新莊區,4
捷運新莊副都心站,46,21,新莊區,15
捷運泰山站,34,15,泰山區,9
八里中庄市場綜合大樓,36,13,八里區,23
江翠國中,30,17,板橋區,13
捷運新北產業園區站,44,15,新莊區,21
捷運泰山貴和站,26,4,泰山區,21
龍形停車場,40,22,八里區,18
捷運紅樹林站,38,25,淡水區,13
大庄一號公園,28,7,淡水區,21
三井Outlet,50,4,林口區,43
貿商國宅,40,22,五股區,17
中正北路193巷(愛買三重店),42,7,三重區,28
翔譽雙子星,28,11,三重區,17
明志科技大學,50,21,泰山區,27
三民高中(民權路),36,21,蘆洲區,15
環河福德南路口,32,4,三重區,26
文林國小(潭興街),34,10,樹林區,22
板橋果菜批發市場,40,30,板橋區,8
安和公園,44,14,新店區,27
東陽市民活動中心,32,5,樹林區,27
遠雄左岸,40,10,中和區,30
瓦磘溝(福真里),32,8,中和區,24
中正路161巷口,46,26,中和區,20
瑞峰橋,34,18,瑞芳區,16
民族二街明峰街口,16,5,汐止區,9
光復國小,22,15,板橋區,6
世貿國家公園社區,22,13,汐止區,9
新店新和國小,40,9,新店區,27
立德青雲路口,62,13,土城區,47
新北市林口行政園區,42,15,林口區,24
工建樟樹一路口,24,8,汐止區,16
中和青年社會住宅,46,24,中和區,22
蘆洲李宅古蹟,30,19,蘆洲區,10
新莊勞工中心,26,12,新莊區,13
名利橋,32,5,永和區,26
捷運大坪林站(1號出口),16,0,新店區,13
福和國中停車場,40,16,永和區,24
捷運中原站,66,20,中和區,46
福美公園,40,32,新莊區,4
輔仁大學附設醫院,16,8,新莊區,7
民視數位媒體總部,40,21,林口區,18
五股郵局,32,19,五股區,13
新市一路一段99巷口,46,24,淡水區,22
國泰街111巷口,34,20,板橋區,14
湳雅觀光夜市(津渡橋),40,24,板橋區,15
學成公園,34,23,土城區,11
鳳祥公園,30,6,鶯歌區,23
光明市場,24,8,三重區,14
中興路二段100巷口,30,19,新店區,5
福和橋,28,8,永和區,20
土城國中,32,11,土城區,21
安光公園,34,2,新店區,30
崇德國小,58,6,汐止區,51
中華中央路一段242巷口,38,25,土城區,13
公五公園,44,15,五股區,28
碧潭西岸,40,12,新店區,27
廣停二停車場,36,23,林口區,10
民義公園,40,13,五股區,25
大崙公園,26,12,林口區,13
成州國小,22,8,五股區,14
中興北街42巷17弄,26,12,三重區,13
江翠國小,26,2,板橋區,24
華江一華江九路口,40,13,板橋區,27
三光國小(金滿意),36,19,三重區,15
蘆洲中路公園,32,5,蘆洲區,25
林口高中,32,13,林口區,19
雙和橋,34,7,永和區,26
海山高中,52,3,板橋區,19
環河西路一段95巷口,24,2,永和區,22
碧河宮,40,8,中和區,31
萬板文聖街口,46,30,板橋區,13
明德高中,58,14,三峽區,42
鳳鳴國小,32,13,鶯歌區,17
林本源園邸,32,11,板橋區,20
藍天大樓,24,5,三重區,19
忠孝國中,46,0,板橋區,0
大智公園,22,9,三重區,13
國際二國際一路口,38,25,鶯歌區,13
三重高中,34,23,三重區,11
昌平公園,40,13,新莊區,26
新北市客家文化園區,38,18,三峽區,17
台北海洋科技大學,38,17,淡水區,20
蘭庭序大廈,24,7,汐止區,16
福和路7巷口,18,15,永和區,3
捷運新店區公所站(1號出口),28,0,新店區,28
新泰游泳池,26,7,新莊區,19
森林公園,36,10,樹林區,26
馥華公園,34,10,板橋區,24
光復高中,42,3,板橋區,39
南雅育智路口,40,19,鶯歌區,21
穀保家商,30,12,三重區,17
文德國小(公館街),38,22,板橋區,16
學成大成路口,42,28,樹林區,14
石雕公園,24,7,板橋區,17
新北市藝文中心(文化路二段124巷),28,3,板橋區,25
四維公園地下停車場,74,30,板橋區,43
廣福派出所,34,23,土城區,11
新和活動中心,38,22,新店區,15
大眾廟,26,14,新莊區,12
化成公園,32,12,新莊區,19
龍恩公園,36,13,三峽區,23
新北市工商展覽中心,46,19,五股區,26
金城裕民路口(中正國中),44,9,土城區,35
圓通路335巷33弄,24,12,中和區,11
海洋公園,36,3,三峽區,33
浮洲合宜住宅(合宜一路),50,33,板橋區,16
文山國中,30,16,新店區,14
臺北大學(資訊中心),56,18,三峽區,38
捷運府中站(1號出口),76,19,板橋區,54
新莊田徑場,36,20,新莊區,16
新泰國中,18,6,新莊區,11
碧潭渡船頭,30,0,新店區,0
山佳火車站,30,16,樹林區,16
新北市勞工活動中心,28,12,五股區,16
板橋重慶公園,34,19,板橋區,15
林口社區運動公園(公園路),40,0,林口區,0
山北公園,24,8,中和區,16
捷運景平站,38,1,中和區,36
中港大排願景館,30,12,新莊區,18
頭前國小,30,17,新莊區,13
輕軌淡金北新站,46,13,淡水區,33
忠孝活動中心,20,2,永和區,18
淡水海關碼頭園區,30,0,淡水區,30
縣民漢生東路口,56,41,板橋區,15
時光公園,32,5,板橋區,27
積穗國中,24,16,中和區,7
員和公園,62,27,土城區,35
環河公園,36,9,板橋區,25
中興中正路口,22,4,新店區,17
新莊國民運動中心,40,20,新莊區,20
三鶯國民運動中心,32,15,三峽區,17
彩虹兒童公園,36,16,蘆洲區,19
崇林國中,26,3,林口區,23
碧華公園(集勇街),30,6,三重區,24
大觀路二段19巷,30,13,板橋區,11
成泰路一段(中油),26,18,五股區,2
清和里(青雲路),32,15,土城區,15
輕軌濱海沙崙站,30,16,淡水區,14
輕軌淡海新市鎮站,30,14,淡水區,16
