"離婚對數","離婚對數","粗離婚率"
"109年 5月/ 連江縣","4","0.31"
"109年 6月/ 區域別總計","4,259","0.18"
"109年 6月/ 新北市","760","0.19"
"109年 6月/ 臺北市","418","0.16"
"109年 6月/ 桃園市","497","0.22"
"109年 6月/ 臺中市","503","0.18"
"109年 6月/ 臺南市","332","0.18"
"109年 6月/ 高雄市","522","0.19"
"109年 6月/ 宜蘭縣","63","0.14"
"109年 6月/ 新竹縣","115","0.20"
"109年 6月/ 苗栗縣","113","0.21"
"109年 6月/ 彰化縣","173","0.14"
"109年 6月/ 南投縣","70","0.14"
"109年 6月/ 雲林縣","116","0.17"
"109年 6月/ 嘉義縣","76","0.15"
"109年 6月/ 屏東縣","140","0.17"
"109年 6月/ 臺東縣","41","0.19"
"109年 6月/ 花蓮縣","77","0.24"
"109年 6月/ 澎湖縣","17","0.16"
"109年 6月/ 基隆市","81","0.22"
"109年 6月/ 新竹市","76","0.17"
"109年 6月/ 嘉義市","51","0.19"
"109年 6月/ 金門縣","17","0.12"
"109年 6月/ 連江縣","1","0.08"
"109年 7月/ 區域別總計","4,905","0.21"
"109年 7月/ 新北市","884","0.22"
"109年 7月/ 臺北市","474","0.18"
"109年 7月/ 桃園市","519","0.23"
"109年 7月/ 臺中市","608","0.22"
"109年 7月/ 臺南市","374","0.20"
"109年 7月/ 高雄市","581","0.21"
"109年 7月/ 宜蘭縣","68","0.15"
"109年 7月/ 新竹縣","111","0.20"
"109年 7月/ 苗栗縣","110","0.20"
"109年 7月/ 彰化縣","207","0.16"
"109年 7月/ 南投縣","115","0.23"
"109年 7月/ 雲林縣","126","0.19"
"109年 7月/ 嘉義縣","97","0.19"
"109年 7月/ 屏東縣","202","0.25"
"109年 7月/ 臺東縣","54","0.25"
"109年 7月/ 花蓮縣","106","0.33"
"109年 7月/ 澎湖縣","20","0.19"
"109年 7月/ 基隆市","75","0.20"
"109年 7月/ 新竹市","95","0.21"
"109年 7月/ 嘉義市","54","0.20"
"109年 7月/ 金門縣","24","0.17"
"109年 7月/ 連江縣","1","0.08"
"109年 8月/ 區域別總計","4,379","0.19"
"109年 8月/ 新北市","787","0.20"
"109年 8月/ 臺北市","415","0.16"
"109年 8月/ 桃園市","525","0.23"
"109年 8月/ 臺中市","559","0.20"
"109年 8月/ 臺南市","294","0.16"
"109年 8月/ 高雄市","511","0.18"
"109年 8月/ 宜蘭縣","84","0.19"
"109年 8月/ 新竹縣","128","0.23"
"109年 8月/ 苗栗縣","100","0.18"
"109年 8月/ 彰化縣","187","0.15"
"109年 8月/ 南投縣","80","0.16"
"109年 8月/ 雲林縣","106","0.16"
"109年 8月/ 嘉義縣","71","0.14"
"109年 8月/ 屏東縣","154","0.19"
"109年 8月/ 臺東縣","37","0.17"
"109年 8月/ 花蓮縣","91","0.28"
"109年 8月/ 澎湖縣","21","0.20"
"109年 8月/ 基隆市","82","0.22"
"109年 8月/ 新竹市","83","0.18"
"109年 8月/ 嘉義市","42","0.16"
"109年 8月/ 金門縣","17","0.12"
"109年 8月/ 連江縣","5","0.38"
"109年 9月/ 區域別總計","4,516","0.19"
"109年 9月/ 新北市","775","0.19"
"109年 9月/ 臺北市","401","0.15"
"109年 9月/ 桃園市","507","0.22"
"109年 9月/ 臺中市","555","0.20"
"109年 9月/ 臺南市","346","0.18"
"109年 9月/ 高雄市","570","0.21"
"109年 9月/ 宜蘭縣","99","0.22"
"109年 9月/ 新竹縣","103","0.18"
"109年 9月/ 苗栗縣","105","0.19"
"109年 9月/ 彰化縣","202","0.16"
"109年 9月/ 南投縣","91","0.18"
"109年 9月/ 雲林縣","129","0.19"
"109年 9月/ 嘉義縣","92","0.18"
"109年 9月/ 屏東縣","187","0.23"
"109年 9月/ 臺東縣","49","0.23"
"109年 9月/ 花蓮縣","68","0.21"
"109年 9月/ 澎湖縣","19","0.18"
"109年 9月/ 基隆市","63","0.17"
"109年 9月/ 新竹市","86","0.19"
"109年 9月/ 嘉義市","50","0.19"
"109年 9月/ 金門縣","17","0.12"
"109年 9月/ 連江縣","2","0.15"
"109年 10月/ 區域別總計","4,043","0.17"
"109年 10月/ 新北市","709","0.18"
"109年 10月/ 臺北市","360","0.14"
"109年 10月/ 桃園市","432","0.19"
"109年 10月/ 臺中市","500","0.18"
"109年 10月/ 臺南市","317","0.17"
"109年 10月/ 高雄市","491","0.18"
"109年 10月/ 宜蘭縣","84","0.19"
"109年 10月/ 新竹縣","103","0.18"
"109年 10月/ 苗栗縣","104","0.19"
"109年 10月/ 彰化縣","184","0.15"
"109年 10月/ 南投縣","78","0.16"
"109年 10月/ 雲林縣","93","0.14"
"109年 10月/ 嘉義縣","80","0.16"
"109年 10月/ 屏東縣","147","0.18"
"109年 10月/ 臺東縣","46","0.21"
"109年 10月/ 花蓮縣","66","0.20"
"109年 10月/ 澎湖縣","25","0.24"
"109年 10月/ 基隆市","62","0.17"
"109年 10月/ 新竹市","101","0.22"
"109年 10月/ 嘉義市","49","0.18"
"109年 10月/ 金門縣","11","0.08"
"109年 10月/ 連江縣","1","0.08"

